file_name,number_of_elephants
boxed_nn01b_20180309_000000.wav_segment_89_nan.wav.png,0
boxed_nn01b_20180702_000000.wav_segment_139_nan.wav.png,0
boxed_nn02d_20180522_000000.wav_segment_732_nan.wav.png,0
boxed_nn02f_20180803_000000.wav_segment_836_nan.wav.png,0
boxed_nn03e_20180911_000000.wav_segment_1114_marginal.wav.png,0
boxed_nn04c_20180308_000000.wav_segment_1298_nan.wav.png,0
boxed_nn05e_20180504_000000.wav_segment_1619_marginal.wav.png,0
boxed_nn06a_20180615_000000.wav_segment_1668_nan.wav.png,0
boxed_nn06a_20180615_000000.wav_segment_1681_nan.wav.png,0
boxed_nn06b_20180911_000000.wav_segment_2261_nan.wav.png,0
boxed_nn06b_20180911_000000.wav_segment_2269_nan.wav.png,0
boxed_nn06f_20180806_000000.wav_segment_2449_marginal.wav.png,0
boxed_nn07c_20180603_000000.wav_segment_600_maginal.wav.png,0
boxed_nn07c_20180603_000000.wav_segment_601_nan.wav.png,0
boxed_nn07c_20180603_000000.wav_segment_613_nan.wav.png,0
boxed_nn07c_20180603_000000.wav_segment_662_nan.wav.png,0
boxed_nn08b_20180817_000000.wav_segment_2620_nan.wav.png,0
boxed_nn08b_20180817_000000.wav_segment_2625_nan.wav.png,0
boxed_nn08c_20180824_000000.wav_segment_2751_nan.wav.png,0
boxed_nn08c_20180824_000000.wav_segment_2755_nan.wav.png,0
boxed_nn08c_20180902_000000.wav_segment_2901_nan.wav.png,0
boxed_nn10a_20180702_000000.wav_segment_3034_nan.wav.png,0
boxed_nn10a_20180702_000000.wav_segment_3036_nan.wav.png,0
boxed_nn10b_20180604_000000.wav_segment_3110_nan.wav.png,0
boxed_nn01a_20180126_000000.wav_segment_2_nan.wav.png,1
boxed_nn01a_20180126_000000.wav_segment_3_nan.wav.png,1
boxed_nn01a_20180126_000000.wav_segment_4_nan.wav.png,1
boxed_nn01a_20180126_000000.wav_segment_5_nan.wav.png,1
boxed_nn01a_20180126_000000.wav_segment_6_nan.wav.png,1
boxed_nn01a_20180126_000000.wav_segment_6_nan.wav.png_mono.png,1
boxed_nn01a_20180126_000000.wav_segment_7_marginal.wav.png,1
boxed_nn01a_20180126_000000.wav_segment_8_nan.wav.png,1
boxed_nn01a_20180126_000000.wav_segment_9_marginal.wav.png,1
boxed_nn01a_20180203_000000.wav_segment_10_marginal.wav.png,1
boxed_nn01a_20180203_000000.wav_segment_11_marginal.wav.png,1
boxed_nn01a_20180203_000000.wav_segment_12_nan.wav.png,1
